image,question
test_0024,What shows admixture of spindle-shaped pleomorphic cells forming storiform pattern and histiocyte-like round to oval cells?
test_0501,Where does this belong to?
test_0728,Where is this from?
test_0613,What shows marked deformity both legs?
test_0511,Why does this image show esophageal varices?
test_0867,"How is congestive heart failure , left  dilatation ?"
test_0607,What is present?
test_0597,What does this image show?
test_0471,What does this image show?
test_0615,What are present?
test_0867,What is present?
test_0498,What is present?
test_0181,What is there with prolapse of the posterior mitral leaflet into the left atrium?
test_0618,What is present?
test_0478,What does this image show?
test_0571,Where is this part in the figure?
test_0611,How many digits is present?
test_0446,Where does this belong to?
test_0875,Where is this?
test_0581,What is present ?
test_0810,What is present?
test_0499,What does this image show?
test_0897,Where is this?
test_0981,What is present ?
test_0705,What does this image show?
test_0895,What is present?
test_0580,What is present?
test_0504,Where does this belong to?
test_0444,What is present?
test_0370,Is morphology present?
test_0561,What does this image show?
test_0594,Where does this belong to?
test_0832,Where is this?
test_0556,What is present?
test_0041,What is infiltrated by macrophages and fibroblasts?
test_0614,What does this image show?
test_0876,What is present?
test_0871,What is present?
